id;imdb_id;popularity;budget;revenue;original_title;cast;homepage;director;tagline;keywords;runtime;genres;production_companies;release_date;vote_count;vote_average;release_year;budget_adj;revenue_adj
135397;tt0369610;32.985763;150000000;1513528810;Jurassic World;Chris Pratt;http://www.jurassicworld.com/;Colin Trevorrow;The park is open.;monster|dna|tyrannosaurus rex|velociraptor|island;124.0;Action;Universal Studios;06-09-2015;5562.0;6.5;2015.0;137999939.280026;1392445892.5238
76341;tt1392190;28.419936;150000000;378436354;Mad Max: Fury Road;Tom Hardy;http://www.madmaxmovie.com/;George Miller;What a Lovely Day.;future|chase|post-apocalyptic|dystopia|australia;120.0;Action;Village Roadshow Pictures;5-13-15;6185.0;7.1;2015.0;137999939.280026;348161292.489031
262500;tt2908446;13.112507;110000000;295238201;Insurgent;Shailene Woodley;http://www.thedivergentseries.movie/#insurgent;Robert Schwentke;One Choice Can Destroy You;based on novel|revolution|dystopia|sequel|dystopic future;119.0;Adventure;Summit Entertainment;3-18-15;2480.0;6.3;2015.0;101199955.472019;271619025.407628
140607;tt2488496;11.173104;200000000;2068178225;Star Wars: The Force Awakens;Harrison Ford;http://www.starwars.com/films/star-wars-episode-vii;J.J. Abrams;Every generation has a story.;android|spaceship|jedi|space opera|3d;136.0;Action;Lucasfilm;12-15-15;5292.0;7.5;2015.0;183999919.040035;1902723129.80182
168259;tt2820852;9.335014;190000000;1506249360;Furious 7;Vin Diesel;http://www.furious7.com/;James Wan;Vengeance Hits Home;car race|speed|revenge|suspense|car;137.0;Action;Universal Pictures;04-01-2015;2947.0;7.3;2015.0;174799923.088033;1385748801.47052
281957;tt1663202;9.1107;135000000;532950503;The Revenant;Leonardo DiCaprio;http://www.foxmovies.com/movies/the-revenant;Alejandro GonzÃ¡lez IÃ±Ã¡rritu;(n. One who has returned, as if from the dead.);father-son relationship|rape|based on novel|mountains|winter;156.0;Western;Regency Enterprises;12-25-15;3929.0;7.2;2015.0;124199945.352024;490314247.021731
87101;tt1340138;8.654359;155000000;440603537;Terminator Genisys;Arnold Schwarzenegger;http://www.terminatormovie.com/;Alan Taylor;Reset the future;saving the world|artificial intelligence|cyborg|killer robot|future;125.0;Science Fiction;Paramount Pictures;6-23-15;2598.0;5.8;2015.0;142599937.256027;405355075.683766
286217;tt3659388;7.6674;108000000;595380321;The Martian;Matt Damon;http://www.foxmovies.com/movies/the-martian;Ridley Scott;Bring Him Home;based on novel|mars|nasa|isolation|botanist;141.0;Drama;Twentieth Century Fox Film Corporation;9-30-15;4572.0;7.6;2015.0;99359956.2816192;547749654.310152
211672;tt2293640;7.40416499999999;74000000;1156730962;Minions;Sandra Bullock;http://www.minionsmovie.com/;Kyle Balda|Pierre Coffin;Before Gru, they had a history of bad bosses;assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions;91.0;Family;Universal Pictures;6-17-15;2893.0;6.5;2015.0;68079970.0448131;1064192016.79551
150540;tt2096673;6.326804;175000000;853708609;Inside Out;Amy Poehler;http://movies.disney.com/inside-out;Pete Docter;Meet the little voices inside your head.;dream|cartoon|imaginary friend|animation|kid;94.0;Comedy;Walt Disney Pictures;06-09-2015;3935.0;8.0;2015.0;160999929.160031;785411574.698907
